Member,KMeans,GMM,Agglomerative,Hierarchical,RFM,Spark KMeans,RFM_Score,RFM_Segment,KMeans_Percent,GMM_Percent,Agglomerative_Percent,Hierarchical_Percent,RFM_Percent,SparkKMeans_Percent
4787,2,0,1,2,2,3,10,VIP,36.63,28.35,29.89,29.89,32.84,36.35
4788,2,3,1,2,2,3,9,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4789,3,1,3,1,2,1,10,VIP,16.7,21.58,10.6,10.6,32.84,16.24
4790,2,0,1,2,2,3,8,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4791,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4792,0,2,2,3,0,2,4,Ordinary Buyers,26.68,25.12,22.76,22.76,29.3,27.32
4793,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4794,0,0,0,4,2,2,8,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
4795,0,0,2,3,0,2,4,Ordinary Buyers,26.68,28.35,22.76,22.76,29.3,27.32
4796,2,0,1,2,2,3,10,VIP,36.63,28.35,29.89,29.89,32.84,36.35
4797,2,3,1,2,2,3,9,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4798,0,0,0,4,2,2,8,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
4799,3,3,1,2,2,1,10,VIP,16.7,24.96,29.89,29.89,32.84,16.24
4800,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4801,0,0,2,3,0,2,4,Ordinary Buyers,26.68,28.35,22.76,22.76,29.3,27.32
4802,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4803,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4804,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
